고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자,변동순번,입력구분,원천시도시군구코드
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173327266,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173326883,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173326882,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173320917,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173320916,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173320366,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173320002,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173319818,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173314437,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173314165,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173313740,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173313739,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173313405,U,47150
4715011400107180000,4715011400,경상북도 김천시 부곡동,718,1,토지대장,01,전,2314.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173313404,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173306828,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173306635,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173306478,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173306247,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173306036,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173305839,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173299225,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173299032,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173298858,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173298496,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296766,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296765,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296395,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296394,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296021,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173296020,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173295563,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173295562,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173293523,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173293426,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173293296,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173293196,U,47150
4715010600100120013,4715010600,경상북도 김천시 남산동,12-13,1,토지대장,08,대,585.8,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173292990,U,47150
4715010600100120006,4715010600,경상북도 김천시 남산동,12-6,1,토지대장,08,대,263.5,03,"외국인, 외국공공기관",6,06,1:600,2025-06-27,173292393,U,47150
